DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2000,12.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2001,11.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2002,11.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2003,11.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2004,10.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2005,9.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2006,8.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2007,8.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2008,8.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2009,7.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2010,6.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2011,6.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2012,6.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2013,5.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2014,5.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2015,5.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2016,4.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2017,4.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2018,4.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2019,4.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2020,3.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,AT,2021,4.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2000,14.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2001,14.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2002,12.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2003,11.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2004,11.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2005,10.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2006,10.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2007,10.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2008,8.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2009,8.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2010,7.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2011,8.0,b
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2012,7.4,b
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2013,6.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2014,6.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2015,6.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2016,5.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2017,5.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2018,5.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2019,5.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2020,4.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BE,2021,4.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2000,12.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2001,12.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2002,12.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2003,12.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2004,12.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2005,12.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2006,13.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2007,13.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2008,14.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2009,12.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2010,10.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2011,8.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2012,8.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2013,8.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2014,9.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2015,9.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2016,9.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2017,9.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2018,8.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2019,9.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2020,6.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,BG,2021,8.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2000,8.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2001,7.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2002,7.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2003,7.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2004,6.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2005,5.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2006,4.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2007,5.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2008,4.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2009,4.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2010,4.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2011,4.0,b
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2012,4.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2013,3.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2014,3.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2015,3.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2016,2.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2017,2.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2018,2.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2019,2.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2020,2.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CH,2021,2.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2000,16.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2001,14.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2002,13.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2003,13.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2004,16.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2005,13.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2006,11.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2007,11.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2008,10.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2009,8.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2010,7.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2011,8.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2012,5.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2013,5.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2014,5.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2015,6.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2016,5.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2017,6.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2018,5.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2019,5.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2020,5.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CY,2021,5.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2000,14.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2001,13.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2002,14.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2003,14.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2004,13.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2005,12.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2006,10.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2007,11.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2008,10.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2009,8.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2010,7.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2011,7.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2012,7.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2013,6.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2014,6.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2015,7.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2016,5.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2017,5.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2018,6.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2019,5.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2020,4.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,CZ,2021,5.1,b
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2000,9.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2001,8.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2002,8.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2003,8.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2004,7.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2005,6.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2006,6.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2007,6.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2008,5.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2009,5.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2010,4.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2011,5.0,b
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2012,4.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2013,4.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2014,4.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2015,4.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2016,3.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2017,3.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2018,4.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2019,3.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2020,3.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DE,2021,3.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2000,9.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2001,8.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2002,8.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2003,8.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2004,6.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2005,6.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2006,5.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2007,7.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2008,7.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2009,5.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2010,4.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2011,3.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2012,3.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2013,3.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2014,3.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2015,3.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2016,3.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2017,3.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2018,3.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2019,3.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2020,2.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,DK,2021,2.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2000,14.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2001,14.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2002,16.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2003,12.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2004,12.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2005,12.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2006,15.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2007,14.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2008,9.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2009,7.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2010,5.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2011,7.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2012,6.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2013,6.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2014,5.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2015,5.1,b
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2016,5.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2017,3.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2018,5.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2019,3.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2020,4.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EE,2021,4.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2000,18.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2001,17.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2002,15.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2003,14.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2004,15.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2005,15.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2006,15.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2007,14.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2008,14.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2009,13.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2010,11.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2011,10.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2012,8.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2013,8.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2014,7.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2015,7.3,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2016,7.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2017,6.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2018,6.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2019,6.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2020,5.5,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,EL,2021,5.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2000,14.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2001,13.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2002,12.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2003,12.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2004,11.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2005,10.1,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2006,9.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2007,8.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2008,6.7,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2009,5.8,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2010,5.2,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2011,4.4,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2012,4.0,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2013,3.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2014,3.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2015,3.6,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2016,3.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2017,3.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2018,3.9,
ESTAT:SDG_11_40(1.0),11/05/23 11:00:00,A,TOTAL,RT,ES,2019,3.7,
